,State,2013 GDP,2014 GDP,2015 GDP,2016 GDP,2017 GDP,2018 GDP,2014 Growth %,2015 Growth %,2016 Growth %,2017 Growth %,2018 Growth %,2013 to 2018 Growth %,Pop 2013,Pop 2014,Pop 2015,Pop 2016,Pop 2017,Pop 2018,Pop 2019,Pop Gr% 2014,Pop Gr% 2015,Pop Gr% 2016,Pop Gr% 2017,Pop Gr% 2018,Pop Total Growth %
0,Alabama,765926,776846,801610,815319,841459,886941,1.43,3.19,1.71,3.21,5.41,15.8,4779736,4833996,4858979,4863300,4874747,4887871,4903185,1.14,0.52,0.09,0.24,0.27,2.26
1,Alaska,226490,222094,202566,197452,207212,218936,-1.94,-8.79,-2.52,4.94,5.66,-3.34,710231,737259,738432,741894,739795,737438,731545,3.81,0.16,0.47,-0.28,-0.32,3.83
2,Arizona,1100796,1137718,1188565,1244362,1309981,1393189,3.35,4.47,4.69,5.27,6.35,26.56,6392017,6634997,6828065,6931071,7016270,7171646,7278717,3.8,2.91,1.51,1.23,2.21,12.2
3,Arkansas,457006,469347,475047,481499,493533,513676,2.7,1.21,1.36,2.5,4.08,12.4,2915918,2958765,2978204,2988248,3004279,3013825,3017804,1.47,0.66,0.34,0.54,0.32,3.36
4,California,9051084,9580647,10215088,10631187,11276446,11990933,5.85,6.62,4.07,6.07,6.34,32.48,37253956,38431393,39144818,39250017,39536653,39557045,39512223,3.16,1.86,0.27,0.73,0.05,6.18
5,Colorado,1153221,1226284,1274221,1317474,1400016,1487001,6.34,3.91,3.39,6.27,6.21,28.94,5029196,5272086,5456574,5540545,5607154,5695564,5758736,4.83,3.5,1.54,1.2,1.58,13.25
6,Connecticut,986527,995462,1040289,1054784,1073241,1102906,0.91,4.5,1.39,1.75,2.76,11.8,3574097,3599341,3590886,3576452,3588184,3572665,3565287,0.71,-0.23,-0.4,0.33,-0.43,-0.04
7,Delaware,240329,264975,281966,276390,280642,291561,10.26,6.41,-1.98,1.54,3.89,21.32,897934,925240,945934,952065,961939,967171,973764,3.04,2.24,0.65,1.04,0.54,7.71
8,District of Columbia,459565,479364,500848,519306,528588,562646,4.31,4.48,3.69,1.79,6.44,22.43,601723,649111,672228,681170,693972,702455,705749,7.88,3.56,1.33,1.88,1.22,16.74
9,Florida,3202819,3357936,3580588,3755097,3942663,4156947,4.84,6.63,4.87,4.99,5.44,29.79,18801310,19600311,20271272,20612439,20984400,21299325,21477737,4.25,3.42,1.68,1.8,1.5,13.29
10,Georgia,1842342,1943264,2054264,2158100,2265894,2368613,5.48,5.71,5.05,4.99,4.53,28.57,9687653,9994759,10214860,10310371,10429379,10519475,10617423,3.17,2.2,0.94,1.15,0.86,8.59
11,Hawaii,303151,311417,330842,343373,357715,375192,2.73,6.24,3.79,4.18,4.89,23.76,1360301,1408987,1431603,1428557,1427538,1420491,1415872,3.58,1.61,-0.21,-0.07,-0.49,4.42
12,Idaho,244073,254087,264019,276119,290893,308210,4.1,3.91,4.58,5.35,5.95,26.28,1567582,1612843,1654930,1683140,1716943,1754208,1787065,2.89,2.61,1.7,2.01,2.17,11.91
13,Illinois,2958511,3061392,3171997,3225259,3307273,3461242,3.48,3.61,1.68,2.54,4.66,16.99,12830632,12890552,12859995,12801539,12802023,12741080,12671821,0.47,-0.24,-0.45,0.0,-0.48,-0.7
14,Indiana,1234726,1299738,1320130,1352503,1404421,1467201,5.27,1.57,2.45,3.84,4.47,18.83,6483802,6570713,6619680,6633053,6666818,6691878,6732219,1.34,0.75,0.2,0.51,0.38,3.21
15,Iowa,641198,686243,713890,718187,727386,758807,7.03,4.03,0.6,1.28,4.32,18.34,3046355,3092341,3123899,3134693,3145711,3156145,3155070,1.51,1.02,0.35,0.35,0.33,3.6
16,Kansas,572883,592900,609498,627431,644880,673271,3.49,2.8,2.94,2.78,4.4,17.52,2853118,2895801,2911641,2907289,2913123,2911505,2913314,1.5,0.55,-0.15,0.2,-0.06,2.05
17,Kentucky,729436,746090,767694,781368,802862,832351,2.28,2.9,1.78,2.75,3.67,14.11,4339367,4399583,4425092,4436974,4454189,4468402,4467673,1.39,0.58,0.27,0.39,0.32,2.97
18,Louisiana,915870,954715,937196,908907,956818,1029151,4.24,-1.83,-3.02,5.27,7.56,12.37,4533372,4629284,4670724,4681666,4684333,4659978,4648794,2.12,0.9,0.23,0.06,-0.52,2.79
19,Maine,214874,223181,230106,239016,248162,259424,3.87,3.1,3.87,3.83,4.54,20.73,1328361,1328702,1329328,1331479,1335907,1338404,1344212,0.03,0.05,0.16,0.33,0.19,0.76
20,Maryland,1365022,1408186,1468385,1539555,1577035,1650337,3.16,4.27,4.85,2.43,4.65,20.9,5773552,5938737,6006401,6016447,6052177,6042718,6045680,2.86,1.14,0.17,0.59,-0.16,4.66
21,Massachusetts,1817381,1893119,2011433,2077632,2163144,2277951,4.17,6.25,3.29,4.12,5.31,25.34,6547629,6708874,6794422,6811779,6859819,6902149,6892503,2.46,1.28,0.26,0.71,0.62,5.41
22,Michigan,1730872,1796507,1897204,1967098,2022243,2108383,3.79,5.61,3.68,2.8,4.26,21.81,9883640,9898193,9922576,9928300,9962311,9995915,9986857,0.15,0.25,0.06,0.34,0.34,1.14
23,Minnesota,1224612,1279115,1317971,1356398,1405669,1475408,4.45,3.04,2.92,3.63,4.96,20.48,5303925,5422060,5489594,5519952,5576606,5611179,5639632,2.23,1.25,0.55,1.03,0.62,5.79
24,Mississippi,406551,416584,423533,428386,440891,459334,2.47,1.67,1.15,2.92,4.18,12.98,2967297,2992206,2992333,2988726,2984100,2986530,2976149,0.84,0.0,-0.12,-0.15,0.08,0.65
25,Missouri,1111404,1138849,1179177,1190331,1219785,1275684,2.47,3.54,0.95,2.47,4.58,14.78,5988927,6044917,6083672,6093000,6113532,6126452,6137428,0.93,0.64,0.15,0.34,0.21,2.3
26,Montana,172563,177981,184612,181831,190235,201307,3.14,3.73,-1.51,4.62,5.82,16.66,989415,1014864,1032949,1042520,1050493,1062305,1068778,2.57,1.78,0.93,0.76,1.12,7.37
27,Nebraska,430417,444645,461313,464777,482068,495915,3.31,3.75,0.75,3.72,2.87,15.22,1826341,1868969,1896190,1907116,1920076,1929268,1934408,2.33,1.46,0.58,0.68,0.48,5.64
28,Nevada,522485,540614,576930,604859,635392,677241,3.47,6.72,4.84,5.05,6.59,29.62,2700551,2791494,2890845,2940058,2998039,3034392,3080156,3.37,3.56,1.7,1.97,1.21,12.36
29,New Hampshire,280729,289361,304133,313910,323601,337855,3.07,5.11,3.21,3.09,4.4,20.35,1316470,1322616,1330608,1334795,1342795,1356458,1359711,0.47,0.6,0.31,0.6,1.02,3.04
30,New Jersey,2134746,2186747,2278717,2329710,2381295,2488010,2.44,4.21,2.24,2.21,4.48,16.55,8791894,8911502,8958013,8944469,9005644,8908520,8882190,1.36,0.52,-0.15,0.68,-1.08,1.33
31,New Mexico,353644,369924,363876,364173,377070,401185,4.6,-1.63,0.08,3.54,6.4,13.44,2059179,2086895,2085109,2081015,2088070,2095428,2096829,1.35,-0.09,-0.2,0.34,0.35,1.76
32,New York,5422327,5709978,5951014,6158221,6416533,6675465,5.3,4.22,3.48,4.19,4.04,23.11,19378102,19695680,19795791,19745289,19849399,19542209,19453561,1.64,0.51,-0.26,0.53,-1.55,0.85
33,North Carolina,1822085,1903977,2014515,2076487,2153605,2254761,4.49,5.81,3.08,3.71,4.7,23.75,9535483,9848917,10042802,10146788,10273419,10383620,10488084,3.29,1.97,1.04,1.25,1.07,8.89
34,North Dakota,215527,234599,220048,203330,209888,224327,8.85,-6.2,-7.6,3.23,6.88,4.08,672591,723857,756927,757952,755393,760077,762062,7.62,4.57,0.14,-0.34,0.62,13.01
35,Ohio,2244181,2373424,2443090,2491338,2581305,2703620,5.76,2.94,1.97,3.61,4.74,20.47,11536504,11572005,11613423,11614373,11658609,11689442,11689100,0.31,0.36,0.01,0.38,0.26,1.33
36,Oklahoma,730475,780092,743749,715655,753472,810217,6.79,-4.66,-3.78,5.28,7.53,10.92,3751351,3853118,3911338,3923561,3930864,3943079,3956971,2.71,1.51,0.31,0.19,0.31,5.11
37,Oregon,717531,755521,812637,860203,906475,959133,5.29,7.56,5.85,5.38,5.81,33.67,3831074,3928068,4028977,4093465,4142776,4190713,4217737,2.53,2.57,1.6,1.2,1.16,9.39
38,Pennsylvania,2655605,2764750,2844823,2904657,2977163,3132671,4.11,2.9,2.1,2.5,5.22,17.96,12702379,12781296,12802503,12784227,12805537,12807060,12801989,0.62,0.17,-0.14,0.17,0.01,0.82
39,Rhode Island,212364,217161,226396,230156,224497,241727,2.26,4.25,1.66,-2.46,7.67,13.83,1052567,1053354,1056298,1056426,1059639,1057315,1059361,0.07,0.28,0.01,0.3,-0.22,0.45
