State,2013 GDP,2014 GDP,2015 GDP,2016 GDP,2017 GDP,2018 GDP,2014 Growth %,2015 Growth %,2016 Growth %,2017 Growth %,2018 Growth %,2013 to 2018 Growth %
Alabama,765926,776846,801610,815319,841459,886941,1.43,3.19,1.71,3.21,5.41,15.8
Alaska,226490,222094,202566,197452,207212,218936,-1.94,-8.79,-2.52,4.94,5.66,-3.34
Arizona,1100796,1137718,1188565,1244362,1309981,1393189,3.35,4.47,4.69,5.27,6.35,26.56
Arkansas,457006,469347,475047,481499,493533,513676,2.7,1.21,1.36,2.5,4.08,12.4
California,9051084,9580647,10215088,10631187,11276446,11990933,5.85,6.62,4.07,6.07,6.34,32.48
Colorado,1153221,1226284,1274221,1317474,1400016,1487001,6.34,3.91,3.39,6.27,6.21,28.94
Connecticut,986527,995462,1040289,1054784,1073241,1102906,0.91,4.5,1.39,1.75,2.76,11.8
Delaware,240329,264975,281966,276390,280642,291561,10.26,6.41,-1.98,1.54,3.89,21.32
District of Columbia,459565,479364,500848,519306,528588,562646,4.31,4.48,3.69,1.79,6.44,22.43
Florida,3202819,3357936,3580588,3755097,3942663,4156947,4.84,6.63,4.87,4.99,5.44,29.79
Georgia,1842342,1943264,2054264,2158100,2265894,2368613,5.48,5.71,5.05,4.99,4.53,28.57
Hawaii,303151,311417,330842,343373,357715,375192,2.73,6.24,3.79,4.18,4.89,23.76
Idaho,244073,254087,264019,276119,290893,308210,4.1,3.91,4.58,5.35,5.95,26.28
Illinois,2958511,3061392,3171997,3225259,3307273,3461242,3.48,3.61,1.68,2.54,4.66,16.99
Indiana,1234726,1299738,1320130,1352503,1404421,1467201,5.27,1.57,2.45,3.84,4.47,18.83
Iowa,641198,686243,713890,718187,727386,758807,7.03,4.03,0.6,1.28,4.32,18.34
Kansas,572883,592900,609498,627431,644880,673271,3.49,2.8,2.94,2.78,4.4,17.52
Kentucky,729436,746090,767694,781368,802862,832351,2.28,2.9,1.78,2.75,3.67,14.11
Louisiana,915870,954715,937196,908907,956818,1029151,4.24,-1.83,-3.02,5.27,7.56,12.37
Maine,214874,223181,230106,239016,248162,259424,3.87,3.1,3.87,3.83,4.54,20.73
Maryland,1365022,1408186,1468385,1539555,1577035,1650337,3.16,4.27,4.85,2.43,4.65,20.9
Massachusetts,1817381,1893119,2011433,2077632,2163144,2277951,4.17,6.25,3.29,4.12,5.31,25.34
Michigan,1730872,1796507,1897204,1967098,2022243,2108383,3.79,5.61,3.68,2.8,4.26,21.81
Minnesota,1224612,1279115,1317971,1356398,1405669,1475408,4.45,3.04,2.92,3.63,4.96,20.48
Mississippi,406551,416584,423533,428386,440891,459334,2.47,1.67,1.15,2.92,4.18,12.98
Missouri,1111404,1138849,1179177,1190331,1219785,1275684,2.47,3.54,0.95,2.47,4.58,14.78
Montana,172563,177981,184612,181831,190235,201307,3.14,3.73,-1.51,4.62,5.82,16.66
Nebraska,430417,444645,461313,464777,482068,495915,3.31,3.75,0.75,3.72,2.87,15.22
Nevada,522485,540614,576930,604859,635392,677241,3.47,6.72,4.84,5.05,6.59,29.62
New Hampshire,280729,289361,304133,313910,323601,337855,3.07,5.11,3.21,3.09,4.4,20.35
New Jersey,2134746,2186747,2278717,2329710,2381295,2488010,2.44,4.21,2.24,2.21,4.48,16.55
New Mexico,353644,369924,363876,364173,377070,401185,4.6,-1.63,0.08,3.54,6.4,13.44
New York,5422327,5709978,5951014,6158221,6416533,6675465,5.3,4.22,3.48,4.19,4.04,23.11
North Carolina,1822085,1903977,2014515,2076487,2153605,2254761,4.49,5.81,3.08,3.71,4.7,23.75
North Dakota,215527,234599,220048,203330,209888,224327,8.85,-6.2,-7.6,3.23,6.88,4.08
Ohio,2244181,2373424,2443090,2491338,2581305,2703620,5.76,2.94,1.97,3.61,4.74,20.47
Oklahoma,730475,780092,743749,715655,753472,810217,6.79,-4.66,-3.78,5.28,7.53,10.92
Oregon,717531,755521,812637,860203,906475,959133,5.29,7.56,5.85,5.38,5.81,33.67
Pennsylvania,2655605,2764750,2844823,2904657,2977163,3132671,4.11,2.9,2.1,2.5,5.22,17.96
Rhode Island,212364,217161,226396,230156,224497,241727,2.26,4.25,1.66,-2.46,7.67,13.83
South Carolina,732059,767751,815685,851950,892444,935718,4.88,6.24,4.45,4.75,4.85,27.82
South Dakota,179260,184186,191009,194423,198954,208058,2.75,3.7,1.79,2.33,4.58,16.06
Tennessee,1171215,1215238,1290655,1340103,1383800,1456419,3.76,6.21,3.83,3.26,5.25,24.35
Texas,6009001,6291275,6273826,6262530,6662527,7210047,4.7,-0.28,-0.18,6.39,8.22,19.99
Utah,537007,565040,597486,631534,669018,712550,5.22,5.74,5.7,5.94,6.51,32.69
Vermont,116395,118805,122920,126638,128838,133026,2.07,3.46,3.02,1.74,3.25,14.29
Virginia,1820280,1853912,1936865,1975510,2037493,2131570,1.85,4.47,2.0,3.14,4.62,17.1
Washington,1677379,1768806,1881317,1965434,2099258,2263326,5.45,6.36,4.47,6.81,7.82,34.93
West Virginia,284150,287678,281125,278885,292650,309749,1.24,-2.28,-0.8,4.94,5.84,9.01
Wisconsin,1129537,1175539,1223266,1254132,1287951,1345178,4.07,4.06,2.52,2.7,4.44,19.09
Wyoming,155686,157742,150887,142961,139473,156475,1.32,-4.35,-5.25,-2.44,12.19,0.51
