,State,Industry,2005 GDP,2006 GDP,2007 GDP,2008 GDP,2009 GDP,2010 GDP,2011 GDP,2012 GDP,2013 GDP,2014 GDP,2015 GDP,2016 GDP,2017 GDP,2018 GDP,2006 Growth %,2007 Growth %,2008 Growth %,2009 Growth %,2010 Growth %,2011 Growth %,2012 Growth %,2013 Growth %,2014 Growth %,2015 Growth %,2016 Growth %,2017 Growth %,2018 Growth %,2010-2018 Growth %
757,Oregon,Accommodation and food services,14841,15943,16907,16767,16505,17296,18432,20298,20628,23187,26347,28459,30978,33509,7.43,6.05,-0.83,-1.56,4.79,6.57,10.12,1.63,12.41,13.63,8.02,8.85,8.17,93.74
957,Washington,Accommodation and food services,30676,34448,36773,36274,33378,35593,37713,40855,43725,46458,52420,57456,63465,67478,12.3,6.75,-1.36,-7.98,6.64,5.96,8.33,7.02,6.25,12.83,9.61,10.46,6.32,89.58
257,Idaho,Accommodation and food services,4627,5049,5371,5493,5232,5428,5497,5852,6222,6658,7473,8451,9275,10026,9.12,6.38,2.27,-4.75,3.75,1.27,6.46,6.32,7.01,12.24,13.09,9.75,8.1,84.71
97,California,Accommodation and food services,182460,195937,199567,201989,193039,196964,207732,218144,232520,260175,291794,314665,330831,355438,7.39,1.85,1.21,-4.43,2.03,5.47,5.01,6.59,11.89,12.15,7.84,5.14,7.44,80.46
837,South Dakota,Accommodation and food services,3817,4182,4393,4560,3628,3774,3920,4416,5309,5684,6081,6296,6516,6739,9.56,5.05,3.8,-20.44,4.02,3.87,12.65,20.22,7.06,6.98,3.54,3.49,3.42,78.56
37,Alaska,Accommodation and food services,4137,4417,4669,5197,4892,4927,4892,5220,5434,5731,6135,6196,6002,6248,6.77,5.71,11.31,-5.87,0.72,-0.71,6.7,4.1,5.47,7.05,0.99,-3.13,4.1,26.81
497,Mississippi,Accommodation and food services,13890,13500,14613,14806,14076,14460,14767,15174,15581,16085,16689,17244,17956,18552,-2.81,8.24,1.32,-4.93,2.73,2.12,2.76,2.68,3.23,3.76,3.33,4.13,3.32,28.3
737,Oklahoma,Accommodation and food services,14690,15704,15346,16642,18209,17480,16538,17266,18510,19606,20765,21039,21392,22521,6.9,-2.28,8.45,9.42,-4.0,-5.39,4.4,7.2,5.92,5.91,1.32,1.68,5.28,28.84
577,Nevada,Accommodation and food services,71800,75083,75995,73011,65647,68382,71456,72184,77053,81488,86941,85976,87438,89916,4.57,1.21,-3.93,-10.09,4.17,4.5,1.02,6.75,5.76,6.69,-1.11,1.7,2.83,31.49
977,West Virginia,Accommodation and food services,6628,6847,6993,7342,7377,7624,8562,9189,9464,9629,9972,9632,9749,10039,3.3,2.13,4.99,0.48,3.35,12.3,7.32,2.99,1.74,3.56,-3.41,1.21,2.97,31.68
