,State,Industry,2005 GDP,2006 GDP,2007 GDP,2008 GDP,2009 GDP,2010 GDP,2011 GDP,2012 GDP,2013 GDP,2014 GDP,2015 GDP,2016 GDP,2017 GDP,2018 GDP,2006 Growth %,2007 Growth %,2008 Growth %,2009 Growth %,2010 Growth %,2011 Growth %,2012 Growth %,2013 Growth %,2014 Growth %,2015 Growth %,2016 Growth %,2017 Growth %,2018 Growth %,2010-2018 Growth %
99,California,Government and government enterprises,859084,904825,969547,1018035,1017920,1030718,1052515,1055771,1096879,1158011,1223438,1266637,1311234,1363574,5.32,7.15,5.0,-0.01,1.26,2.11,0.31,3.89,5.57,5.65,3.53,3.52,3.99,32.29
119,Colorado,Government and government enterprises,113445,115908,118707,127344,131473,135597,136696,138727,142574,148942,158237,163078,169388,176881,2.17,2.41,7.28,3.24,3.14,0.81,1.49,2.77,4.47,6.24,3.06,3.87,4.42,30.45
819,South Carolina,Government and government enterprises,91848,96873,102022,109114,111208,111011,113788,117306,120908,124092,130537,134868,138601,143012,5.47,5.32,6.95,1.92,-0.18,2.5,3.09,3.07,2.63,5.19,3.32,2.77,3.18,28.83
959,Washington,Government and government enterprises,170173,183010,191412,205912,214632,221160,223167,231435,236211,243836,252344,261378,273184,284340,7.54,4.59,7.58,4.23,3.04,0.91,3.7,2.06,3.23,3.49,3.58,4.52,4.08,28.57
899,Utah,Government and government enterprises,54524,58108,60809,64302,65480,67629,70136,69721,70695,73730,76234,79972,83274,86930,6.57,4.65,5.74,1.83,3.28,3.71,-0.59,1.4,4.29,3.4,4.9,4.13,4.39,28.54
359,Kentucky,Government and government enterprises,81527,87382,92209,98804,99027,105542,105376,106776,108401,108898,109204,109231,110545,112558,7.18,5.52,7.15,0.23,6.58,-0.16,1.33,1.52,0.46,0.28,0.02,1.2,1.82,6.65
379,Louisiana,Government and government enterprises,89450,89024,86802,90101,101048,106375,108558,107196,105946,104906,107630,108971,111211,114607,-0.48,-2.5,3.8,12.15,5.27,2.05,-1.25,-1.17,-0.98,2.6,1.25,2.06,3.05,7.74
599,New Hampshire,Government and government enterprises,26349,27802,29404,30720,30762,32164,31773,31786,32543,33487,33617,33789,34184,35066,5.51,5.76,4.48,0.14,4.56,-1.22,0.04,2.38,2.9,0.39,0.51,1.17,2.58,9.02
979,West Virginia,Government and government enterprises,36543,37718,39219,40742,42871,43708,44510,45960,46462,45869,46774,46702,47092,48197,3.22,3.98,3.88,5.23,1.95,1.83,3.26,1.09,-1.28,1.97,-0.15,0.84,2.35,10.27
619,New Jersey,Government and government enterprises,198805,203698,214983,224257,230904,232529,225403,225530,236574,243072,246526,245173,250293,257174,2.46,5.54,4.31,2.96,0.7,-3.06,0.06,4.9,2.75,1.42,-0.55,2.09,2.75,10.6
