,State,Industry,2005 GDP,2006 GDP,2007 GDP,2008 GDP,2009 GDP,2010 GDP,2011 GDP,2012 GDP,2013 GDP,2014 GDP,2015 GDP,2016 GDP,2017 GDP,2018 GDP,2006 Growth %,2007 Growth %,2008 Growth %,2009 Growth %,2010 Growth %,2011 Growth %,2012 Growth %,2013 Growth %,2014 Growth %,2015 Growth %,2016 Growth %,2017 Growth %,2018 Growth %,2010-2018 Growth %
895,Utah,Health care and social assistance,19287,21442,22592,24743,26648,27084,28403,29569,31525,32194,33992,37529,39262,41510,11.17,5.36,9.52,7.7,1.64,4.87,4.11,6.62,2.12,5.58,10.41,4.62,5.73,53.26
695,North Dakota,Health care and social assistance,8355,8839,9275,10090,10814,11465,12222,13051,13681,14372,15486,16338,16901,17553,5.79,4.93,8.79,7.18,6.02,6.6,6.78,4.83,5.05,7.75,5.5,3.45,3.86,53.1
955,Washington,Health care and social assistance,68022,72026,76302,84661,90688,94249,97052,102117,106076,109863,116930,126240,134117,142831,5.89,5.94,10.96,7.12,3.93,2.97,5.22,3.88,3.57,6.43,7.96,6.24,6.5,51.55
35,Alaska,Health care and social assistance,8337,8787,9180,9907,10791,11510,12504,13214,13869,13911,14660,15540,16251,17316,5.4,4.47,7.92,8.92,6.66,8.64,5.68,4.96,0.3,5.38,6.0,4.58,6.55,50.44
575,Nevada,Health care and social assistance,20387,21964,23611,25985,27402,28036,28428,29562,30175,31980,34352,37119,39211,42050,7.74,7.5,10.05,5.45,2.31,1.4,3.99,2.07,5.98,7.42,8.05,5.64,7.24,49.99
795,Rhode Island,Health care and social assistance,16658,17530,17911,19031,19910,20830,20878,21256,21844,22191,22993,23319,23519,24263,5.23,2.17,6.25,4.62,4.62,0.23,1.81,2.77,1.59,3.61,1.42,0.86,3.16,16.48
1015,Wyoming,Health care and social assistance,4050,4370,4732,5343,5605,5844,5993,6234,6272,6325,6473,6600,6662,6992,7.9,8.28,12.91,4.9,4.26,2.55,4.02,0.61,0.85,2.34,1.96,0.94,4.95,19.64
135,Connecticut,Health care and social assistance,56330,59413,62295,68131,71350,73132,74662,77862,78866,80582,81356,83653,85551,88675,5.47,4.85,9.37,4.72,2.5,2.09,4.29,1.29,2.18,0.96,2.82,2.27,3.65,21.25
495,Mississippi,Health care and social assistance,21818,23409,24839,26770,28265,28969,29798,30774,30810,31419,32293,33527,34725,36291,7.29,6.11,7.77,5.58,2.49,2.86,3.28,0.12,1.98,2.78,3.82,3.57,4.51,25.28
395,Maine,Health care and social assistance,19547,21019,21721,23164,24165,24266,24797,25477,25849,26227,27339,28299,29558,30712,7.53,3.34,6.64,4.32,0.42,2.19,2.74,1.46,1.46,4.24,3.51,4.45,3.9,26.56
